wave,flux
3871.283021254635,0.0
3871.2936100891957,0.0
3871.304198952719,0.0
3871.314787845209,0.0
3871.3253767666583,0.0
3871.335965717071,0.0
3871.3465546964503,0.0
3871.3571437047895,0.0
3871.3677327420914,0.0
3871.3783218083568,0.0
3871.38891090359,0.0
3871.3995000277823,0.0
3871.410089180939,0.0
3871.4206783630625,0.0
3871.4312675741467,0.0
3871.441856814194,0.0
3871.452446083206,0.0
3871.4630353811854,0.0
3871.4736247081255,0.0
3871.4842140640294,0.0
3871.4948034489016,0.0
3871.5053928627344,0.0
3871.5159823055315,0.0
3871.526571777293,0.0
3871.537161278023,0.0
3871.5477508077142,0.0
3871.55834036637,0.0
3871.5689299539904,0.0
3871.5795195705796,0.0
3871.5901092161303,0.0
3871.6006988906456,0.0
3871.61128859413,0.0
3871.6218783265763,0.0
3871.632468087987,0.0
3871.643057878364,0.0
3871.65364769771,0.0
3871.6642375460174,0.0
3871.674827423291,0.0
3871.6854173295337,0.0
3871.6960072647385,0.0
3871.706597228909,0.0
3871.7171872220456,0.0
3871.727777244152,0.0
3871.7383672952205,0.0
3871.7489573752555,0.0
3871.759547484257,0.0
3871.770137622228,0.0
3871.780727789162,0.0
3871.7913179850625,0.0
3871.8019082099336,0.0
3871.812498463767,0.0
3871.8230887465675,0.0
3871.833679058335,0.0
3871.844269399073,0.0
3871.8548597687736,0.0
3871.865450167442,0.0
3871.876040595081,0.0
3871.8866310516837,0.0
3871.8972215372532,0.0
3871.9078120517906,0.0
3871.918402595299,0.0
3871.9289931677713,0.0
3871.939583769211,0.0
3871.9501743996184,0.0
3871.9607650589974,0.0
3871.9713557473406,0.0
3871.9819464646516,0.0
3871.9925372109346,0.0
3872.0031279861814,0.0
3872.013718790397,0.0
3872.0243096235804,0.0
3872.034900485736,0.0
3872.0454913768563,0.0
3872.056082296945,0.0
3872.0666732460063,0.0
3872.077264224032,0.0
3872.087855231027,0.0
3872.09844626699,0.0
3872.109037331926,0.0
3872.1196284258276,0.0
3872.130219548698,0.0
3872.1408107005373,0.0
3872.15140188135,0.0
3872.161993091128,0.0
3872.172584329875,0.0
3872.1831755975954,0.0
3872.193766894282,0.0
3872.2043582199376,0.0
3872.214949574563,0.0
3872.225540958162,0.0
3872.236132370727,0.0
3872.246723812262,0.0
3872.257315282771,0.0
3872.267906782246,0.0
3872.278498310691,0.0
3872.289089868106,0.0
3872.299681454496,0.0
3872.310273069852,0.0
3872.3208647141782,0.0
3872.3314563874756,0.0
3872.342048089747,0.0
3872.3526398209856,0.0
3872.3632315811947,0.0
3872.3738233703784,0.0
3872.3844151885296,0.0
3872.3950070356514,0.0
3872.4055989117446,0.0
3872.4161908168126,0.0
3872.4267827508484,0.0
3872.437374713855,0.0
3872.447966705837,0.0
3872.458558726787,0.0
3872.4691507767084,0.0
3872.479742855601,0.0
3872.49033496347,0.0
3872.5009271003064,0.0
3872.5115192661146,0.0
3872.5221114608953,0.0
3872.5327036846516,0.0
3872.543295937376,0.0
3872.5538882190726,0.0
3872.5644805297457,0.0
3872.575072869387,0.0
3872.585665238001,0.0
3872.5962576355873,0.0
3872.6068500621504,0.0
3872.617442517682,0.0
3872.628035002186,0.0
3872.6386275156674,0.0
3872.649220058118,0.0
3872.6598126295407,0.0
3872.670405229937,0.0
3872.6809978593105,0.0
3872.6915905176534,0.0
3872.702183204969,0.0
3872.7127759212585,0.0
3872.7233686665254,0.0
3872.7339614407615,0.0
3872.744554243972,0.0
3872.755147076159,0.0
3872.765739937317,0.0
3872.776332827448,0.0
3872.7869257465536,0.0
3872.797518694637,0.0
3872.8081116716903,0.0
3872.818704677718,0.0
3872.829297712724,0.0
3872.8398907767,0.0
3872.850483869651,0.0
3872.8610769915763,0.0
3872.87167014248,0.0
3872.8822633223544,0.0
3872.8928565312035,0.0
3872.9034497690313,0.0
3872.91404303583,0.0
3872.9246363316042,0.0
3872.9352296563534,0.0
3872.9458230100813,0.0
3872.9564163927807,0.0
3872.9670098044553,0.0
3872.9776032451055,0.0
3872.988196714735,0.0
3872.9987902133357,0.0
3873.009383740912,0.0
3873.0199772974684,0.0
3873.0305708829965,0.0
3873.0411644975006,0.0
3873.0517581409804,0.0
3873.0623518134403,0.0
3873.072945514872,0.0
3873.08353924528,0.0
3873.0941330046685,0.0
3873.1047267930294,0.0
3873.1153206103663,0.0
3873.1259144566798,0.0
3873.1365083319743,0.0
3873.1471022362407,0.0
3873.1576961694846,0.0
3873.1682901317045,0.0
3873.178884122906,0.0
3873.18947814308,0.0
3873.2000721922313,0.0
3873.2106662703636,0.0
